Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1962-01-02,6.2137,6.2137,6.1408,6.1408,482043
1962-01-03,6.1408,6.1974,6.1408,6.1974,361534
1962-01-04,6.1974,6.1974,6.1327,6.1327,324452
1962-01-05,6.1246,6.1246,6.0031,6.0112,454234
1962-01-08,6.0112,6.0112,5.8496,5.8978,676715
1962-01-09,5.9305,6.0437,5.9305,5.9705,611827
1962-01-10,5.9788,6.0112,5.9788,5.9788,370802
1962-01-11,5.9951,6.0437,5.9951,6.0437,398613
1962-01-12,6.0598,6.1004,6.0598,6.0598,546938
1962-01-15,6.0759,6.1004,6.0759,6.084,315182
1962-01-16,6.0759,6.0759,6.0197,6.0197,315182
1962-01-17,5.9951,5.9951,5.9061,5.9224,519124
1962-01-18,5.9385,5.9951,5.9385,5.9385,463503
1962-01-19,5.9385,5.9547,5.8739,5.9467,500583
1962-01-22,5.9467,6.0031,5.9305,5.9305,342992
1962-01-23,5.9305,5.9385,5.8656,5.8739,463503
1962-01-24,5.8739,5.9061,5.8413,5.9061,509852
1962-01-25,5.9061,5.9547,5.8336,5.8413,398613
1962-01-26,5.8413,5.8656,5.8086,5.8086,305912
1962-01-29,5.8086,5.8496,5.7119,5.7119,723065
1962-01-30,5.7119,5.7441,5.6392,5.6392,917739
1962-01-31,5.6957,5.817,5.6957,5.817,945547
1962-02-01,5.8816,5.9705,5.8816,5.9547,797228
1962-02-02,5.9547,5.9951,5.9305,5.9951,630365
1962-02-05,5.9951,5.9951,5.8816,5.9142,389342
1962-02-06,5.9142,5.9305,5.8978,5.9224,324452
1962-02-07,5.9305,5.9629,5.9305,5.9305,315182
1962-02-08,5.9305,5.9629,5.9305,5.9305,27809
1962-02-09,5.9305,5.9788,5.9061,5.9788,537668
1962-02-12,5.9788,6.0275,5.9705,5.9788,352264
1962-02-13,5.9788,5.9872,5.8816,5.8816,324452
1962-02-14,5.8816,5.9061,5.8656,5.8739,259562
1962-02-15,5.8739,5.8739,5.8496,5.8496,287372
1962-02-16,5.8496,5.8739,5.8496,5.8496,278100
1962-02-19,5.8496,5.8739,5.7769,5.7847,352264
1962-02-20,5.7928,5.817,5.7928,5.7928,361534
1962-02-21,5.7928,5.8336,5.7441,5.7441,454234
1962-02-23,5.7525,5.7769,5.7525,5.7687,361534
1962-02-26,5.7687,5.7687,5.736,5.7441,370802
1962-02-27,5.7441,5.7928,5.7119,5.7525,435694
1962-02-28,5.7525,5.7687,5.7281,5.7687,333726
1962-03-01,5.7847,5.8336,5.7847,5.8336,352264
1962-03-02,5.8816,5.9142,5.8816,5.8816,305912
1962-03-05,5.8816,5.8816,5.8413,5.8656,444967
1962-03-06,5.8656,5.89,5.8496,5.8656,231749
1962-03-07,5.8656,5.89,5.8496,5.89,157591
1962-03-08,5.89,5.8978,5.8496,5.8978,231749
1962-03-09,5.9061,5.9385,5.9061,5.9385,361534
1962-03-12,5.9385,5.9547,5.9142,5.9305,352264
1962-03-13,5.9305,5.9305,5.9061,5.9305,157591
1962-03-14,5.9305,5.9467,5.9061,5.9142,250296
1962-03-15,5.9142,5.9467,5.9061,5.9061,305912
1962-03-16,5.9061,5.9305,5.9061,5.9305,203943
1962-03-19,5.9467,5.9705,5.9467,5.9467,463503
1962-03-20,5.9385,5.9385,5.9142,5.9142,203943
1962-03-21,5.9142,5.9305,5.8978,5.9142,324452
1962-03-22,5.8978,5.8978,5.8496,5.8496,296640
1962-03-23,5.8575,5.8816,5.8575,5.8739,231749
1962-03-26,5.8739,5.8978,5.8656,5.8739,166860
1962-03-27,5.8575,5.8575,5.7525,5.7606,435694
1962-03-28,5.7687,5.8086,5.7687,5.7928,407883
1962-03-29,5.7928,5.817,5.7769,5.7769,287372
1962-03-30,5.7687,5.7687,5.6957,5.7201,546938
1962-04-02,5.7201,5.7201,5.647,5.647,463503
1962-04-03,5.6392,5.6392,5.4448,5.5016,1130951
1962-04-04,5.5016,5.5502,5.477,5.477,806499
1962-04-05,5.51,5.5986,5.51,5.5986,1130951
1962-04-06,5.5986,5.6392,5.5502,5.5904,537668
1962-04-09,5.5904,5.6231,5.5502,5.5986,27809
1962-04-10,5.5986,5.6147,5.5667,5.6147,324452
1962-04-11,5.6147,5.6636,5.5418,5.5418,658177
1962-04-12,5.5418,5.5502,5.4853,5.4853,500583
1962-04-13,5.4853,5.5667,5.477,5.5667,778688
1962-04-16,5.5667,5.5986,5.5016,5.5583,630365
1962-04-17,5.5583,5.5825,5.534,5.5825,370802
1962-04-18,5.5825,5.6308,5.5667,5.5745,528397
1962-04-19,5.5745,5.5986,5.5502,5.5745,482043
1962-04-23,5.5745,5.5825,5.5502,5.5667,389342
1962-04-24,5.5667,5.6067,5.5583,5.5667,565476
1962-04-25,5.5667,5.5825,5.5016,5.5016,574744
1962-04-26,5.5016,5.5016,5.3639,5.3639,1149493
1962-04-27,5.3639,5.4207,5.1536,5.2102,2020880
1962-04-30,5.2102,5.2589,4.8299,4.8788,2901537
1962-05-01,4.8788,4.9918,4.6197,4.9597,6572491
1962-05-02,5.0485,5.1941,5.0485,5.0729,3161102
1962-05-03,5.0729,5.1941,5.0403,5.178,1687158
1962-05-04,5.178,5.2183,5.1294,5.2183,964091
1962-05-07,5.2183,5.2589,5.105,5.105,1028979
1962-05-08,5.0971,5.0971,4.9353,4.9353,1279272
1962-05-09,4.9353,4.9838,4.8299,4.8461,1983797
1962-05-10,4.8461,4.9353,4.8219,4.8624,2363874
1962-05-11,4.8624,4.9432,4.7653,4.7895,2345334
1962-05-14,4.7895,4.8788,4.7086,4.8788,3374313
1962-05-15,4.8788,4.9758,4.8542,4.8542,2085771
1962-05-16,4.8542,4.9353,4.8542,4.9109,1093871
