Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-03-13,0.06601,0.074,0.06601,0.074,1396045137
1986-03-14,0.074,0.074,0.074,0.074,416950877
1986-03-17,0.074,0.074,0.074,0.074,180185121
1986-03-18,0.074,0.074,0.074,0.074,91690229
1986-03-19,0.074,0.074,0.074,0.074,64802738
1986-03-20,0.074,0.074,0.06601,0.074,79064797
1986-03-21,0.074,0.074,0.06601,0.06601,81169036
1986-03-24,0.06601,0.06601,0.06601,0.06601,88339038
1986-03-25,0.06601,0.06601,0.06601,0.06601,43409651
1986-03-26,0.06601,0.074,0.06601,0.06601,30784223
1986-03-27,0.06601,0.074,0.06601,0.074,22795910
1986-03-31,0.074,0.074,0.06601,0.074,17418417
1986-04-01,0.074,0.074,0.06601,0.06601,15002438
1986-04-02,0.06601,0.074,0.06601,0.074,36551394
1986-04-03,0.074,0.074,0.074,0.074,31173897
1986-04-04,0.074,0.074,0.074,0.074,35966888
1986-04-07,0.074,0.074,0.06601,0.06601,22406239
1986-04-08,0.06601,0.074,0.06601,0.074,13872386
1986-04-09,0.074,0.074,0.074,0.074,16444233
1986-04-10,0.074,0.074,0.074,0.074,18782271
1986-04-11,0.074,0.074,0.074,0.074,23302488
1986-04-14,0.074,0.074,0.074,0.074,16444233
1986-04-15,0.074,0.074,0.074,0.074,12586462
1986-04-16,0.074,0.074,0.074,0.074,43175849
1986-04-17,0.074,0.074,0.074,0.074,29771074
1986-04-18,0.074,0.074,0.074,0.074,29264497
1986-04-21,0.074,0.074,0.074,0.074,31018028
1986-04-22,0.074,0.074,0.074,0.074,21042378
1986-04-23,0.074,0.074,0.074,0.074,21120319
1986-04-24,0.074,0.0824,0.074,0.0824,84364356
1986-04-25,0.0824,0.09059,0.0824,0.09059,116083798
1986-04-28,0.09059,0.09059,0.0824,0.09059,39084270
1986-04-29,0.09059,0.09059,0.0824,0.0824,41032642
1986-04-30,0.0824,0.0824,0.0824,0.0824,41811991
1986-05-01,0.0824,0.0824,0.0824,0.0824,73531431
1986-05-02,0.0824,0.0824,0.0824,0.0824,27394061
1986-05-05,0.0824,0.0824,0.0824,0.0824,4403315
1986-05-06,0.0824,0.0824,0.0824,0.0824,13170971
1986-05-07,0.0824,0.0824,0.0824,0.0824,6975156
1986-05-08,0.0824,0.0824,0.0824,0.0824,4792989
1986-05-09,0.0824,0.0824,0.0824,0.0824,8222117
1986-05-12,0.0824,0.0824,0.0824,0.0824,14184124
1986-05-13,0.0824,0.0824,0.0824,0.0824,5182662
1986-05-14,0.0824,0.0824,0.0824,0.0824,12586462
1986-05-15,0.0824,0.0824,0.0824,0.0824,5143692
1986-05-16,0.0824,0.0824,0.0824,0.0824,16171459
1986-05-19,0.0824,0.0824,0.0824,0.0824,14885538
1986-05-20,0.0824,0.0824,0.0824,0.0824,83857784
1986-05-21,0.0824,0.0824,0.0824,0.0824,10949835
1986-05-22,0.0824,0.0824,0.0824,0.0824,5962007
1986-05-23,0.0824,0.0824,0.0824,0.0824,5533365
1986-05-27,0.0824,0.0824,0.0824,0.0824,18782271
1986-05-28,0.0824,0.0824,0.0824,0.0824,21003417
1986-05-29,0.0824,0.09059,0.0824,0.09059,61802254
1986-05-30,0.09059,0.09059,0.09059,0.09059,36629326
1986-06-02,0.09059,0.09059,0.09059,0.09059,26692652
1986-06-03,0.09059,0.09059,0.0824,0.09059,6780323
1986-06-04,0.09059,0.09059,0.0824,0.09059,6390650
1986-06-05,0.09059,0.09059,0.0824,0.09059,18548471
1986-06-06,0.09059,0.09059,0.09059,0.09059,4637115
1986-06-09,0.09059,0.09059,0.0824,0.0824,17145642
1986-06-10,0.0824,0.0824,0.0824,0.0824,4637115
1986-06-11,0.0824,0.0824,0.0824,0.0824,3117390
1986-06-12,0.0824,0.0824,0.0824,0.0824,18548471
1986-06-13,0.0824,0.0824,0.0824,0.0824,10677059
1986-06-16,0.0824,0.0824,0.0824,0.0824,12976135
1986-06-17,0.0824,0.0824,0.0824,0.0824,17691183
1986-06-18,0.0824,0.0824,0.0824,0.0824,5884074
1986-06-19,0.0824,0.0824,0.0824,0.0824,11456407
1986-06-20,0.0824,0.0824,0.0824,0.0824,5143692
1986-06-23,0.0824,0.0824,0.0824,0.0824,62503666
1986-06-24,0.0824,0.0824,0.0824,0.0824,19717489
1986-06-25,0.0824,0.0824,0.0824,0.0824,20613741
1986-06-26,0.0824,0.0824,0.074,0.074,25913303
1986-06-27,0.074,0.074,0.074,0.074,14067223
1986-06-30,0.074,0.0824,0.074,0.0824,84364356
1986-07-01,0.0824,0.0824,0.0824,0.0824,64374097
